CHIJ ST. NICHOLAS GIRLS' SCHOOL,NORTH 6,501 ANG MO KIO STREET 13,569405
DEYI SECONDARY SCHOOL,NORTH 6,1 ANG MO KIO STREET 42,569277
HUAMIN PRIMARY SCHOOL,NORTH 6,21 YISHUN AVENUE 11,768857
NAVAL BASE PRIMARY SCHOOL,NORTH 6,7 YISHUN AVE 4,769028
NORTH VIEW PRIMARY SCHOOL,NORTH 6,210 YISHUN AVENUE 6,768960
NORTHBROOKS SECONDARY SCHOOL,NORTH 6,585 YISHUN RING ROAD,768692
ORCHID PARK SECONDARY SCHOOL,NORTH 6,10 YISHUN STREET 81,768454
PEIYING PRIMARY SCHOOL,NORTH 6,651 YISHUN RING ROAD,768687
PRESBYTERIAN HIGH SCHOOL,NORTH 6,5209 ANG MO KIO AVENUE 6,569845
YIO CHU KANG SECONDARY SCHOOL,NORTH 6,3063 ANG MO KIO AVENUE 5,569868
YISHUN PRIMARY SCHOOL,NORTH 6,500 YISHUN RING ROAD,768679
ADMIRALTY SECONDARY SCHOOL,NORTH 7,31 WOODLANDS CRESCENT,737916
CANBERRA PRIMARY SCHOOL,NORTH 7,21 ADMIRALTY DRIVE,757714
CHRIST CHURCH SECONDARY SCHOOL,NORTH 7,20 WOODLANDS DRIVE 17,737924
FUCHUN PRIMARY SCHOOL,NORTH 7,23 WOODLANDS AVENUE 1,739063
FUCHUN SECONDARY SCHOOL,NORTH 7,21 WOODLANDS AVENUE 1,739062
INNOVA JUNIOR COLLEGE,NORTH 7,21 Champions Way,737902
RIVERSIDE PRIMARY SCHOOL,NORTH 7,110 Woodlands Crescent,737803
SI LING PRIMARY SCHOOL,NORTH 7,61 WOODLANDS AVENUE 1,739067
WELLINGTON PRIMARY SCHOOL,NORTH 7,10 WELLINGTON CIRCLE,757702
WOODGROVE SECONDARY SCHOOL,NORTH 7,3 WOODLANDS AVENUE 6,738990
WOODLANDS PRIMARY SCHOOL,NORTH 7,10 WOODLANDS DRIVE 50,738853
AHMAD IBRAHIM SECONDARY SCHOOL,NORTH 8,751 YISHUN AVENUE 7,768928
CANBERRA SECONDARY SCHOOL,NORTH 8,51 SEMBAWANG DRIVE,757699
ENDEAVOUR PRIMARY SCHOOL,NORTH 8,10 Admiralty Link,757521
GREENWOOD PRIMARY SCHOOL,NORTH 8,11 WOODLANDS DR 62,737942
INNOVA PRIMARY SCHOOL,NORTH 8,80 Woodlands Drive 17,737888
NORTHOAKS PRIMARY SCHOOL,NORTH 8,61 Sembawang Drive,757622
SEMBAWANG PRIMARY SCHOOL,NORTH 8,10 SEMBAWANG DRIVE,757715
SEMBAWANG SECONDARY SCHOOL,NORTH 8,30 SEMBAWANG CRESCENT,757704
SINGAPORE SPORTS SCHOOL,NORTH 8,1 Champions Way,737913
SPECTRA SECONDARY SCHOOL,NORTH 8,1 WOODLANDS DRIVE 64,737758
WOODLANDS RING SECONDARY SCHOOL,NORTH 8,10 WOODLANDS RING ROAD,738239
YISHUN JUNIOR COLLEGE,NORTH 8,3 YISHUN RING ROAD,768675
