OASIS PRIMARY SCHOOL,EAST 3,71 Edgefield Plains,828716,1.4046935,103.9109984
OPERA ESTATE PRIMARY SCHOOL,EAST 7,48 FIDELIO STREET,458436,1.3197569,103.9240813
PARK VIEW PRIMARY SCHOOL,EAST 6,60 PASIR RIS DRIVE 1,519524,1.3776222,103.9392785
PASIR RIS CREST SECONDARY SCHOOL,EAST 1,11 PASIR RIS STREET 41,518934,1.3726966,103.9597766
PASIR RIS PRIMARY SCHOOL,EAST 6,5 PASIR RIS STREET 21,518968,1.37215285,103.9630263
PASIR RIS SECONDARY SCHOOL,EAST 6,390 TAMPINES STREET 21,529400,1.35470585,103.9485272
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),EAST 5,298 LORONG AH SOO,536741,1.34993195,103.8849238
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),EAST 5,296 LOR AH SOO,536742,1.350493702,103.8854702
PING YI SECONDARY SCHOOL,EAST 7,61 CHAI CHEE STREET,468980,1.3269904,103.9209644
POI CHING SCHOOL,EAST 1,21 TAMPINES STREET 71,529067,1.3577705,103.9354865
PUNGGOL COVE PRIMARY SCHOOL,EAST 1,52 Sumang Walk,828674,1.4116313,103.8991802
PUNGGOL GREEN PRIMARY SCHOOL,EAST 1,98 Punggol Walk,828772,1.40198075,103.8984923
PUNGGOL VIEW PRIMARY SCHOOL,EAST 1,9 Punggol Place,828845,1.4053286,103.9052782
RED SWASTIKA SCHOOL,EAST 2,350 BEDOK NORTH AVENUE 3,469719,1.3336412,103.9346186
SENGKANG GREEN PRIMARY SCHOOL,EAST 3,15 Fernvale Road,797636,1.39311055,103.8747641
SIGLAP SECONDARY SCHOOL,EAST 3,10 PASIR RIS DRIVE 10,519385,1.37991245,103.9393769
SPRINGDALE PRIMARY SCHOOL,EAST 3,71 Anchorvale Link,544799,1.3949768,103.8897766
SPRINGFIELD SECONDARY SCHOOL,EAST 3,30 TAMPINES AVENUE 8,529593,1.35001895,103.9299902
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,EAST 4,1602 BEDOK NORTH AVE 4,469701,1.33492125,103.940875
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,EAST 4,1600 BEDOK NORTH AVENUE 4,469700,1.3350627,103.94236
ST. HILDA'S PRIMARY SCHOOL,EAST 6,2 Tampines Ave 3,529706,1.32421475,103.938836
ST. HILDA'S SECONDARY SCHOOL,EAST 6,2 TAMPINES STREET 82,528986,1.3501232,103.9370076
ST. PATRICK'S SCHOOL,EAST 7,490 EAST COAST ROAD,429058,1.308631577,103.9169761
ST. STEPHEN'S SCHOOL,EAST 7,20 SIGLAP VIEW,455789,1.318257,103.9182735
TAMPINES JUNIOR COLLEGE,EAST 6,2 TAMPINES AVENUE 9,529564,1.3575359,103.9569093
TAMPINES NORTH PRIMARY SCHOOL,EAST 6,30 TAMPINES AVENUE 9,529565,1.3605469,103.9491249
TAMPINES PRIMARY SCHOOL,EAST 6,250 TAMPINES STREET 12,529426,1.3503172,103.9438762
TAMPINES SECONDARY SCHOOL,EAST 6,252 TAMPINES ST 12,529427,1.3494462,103.94409
TANJONG KATONG GIRLS' SCHOOL,EAST 5,20 DUNMAN LANE,439272,1.30755665,103.8963618
TANJONG KATONG PRIMARY SCHOOL,EAST 5,10 SERAYA ROAD,437259,1.30530945,103.9004409
TANJONG KATONG SECONDARY SCHOOL,EAST 5,130 HAIG ROAD,438796,1.3083187,103.8973397
TAO NAN SCHOOL,EAST 7,49 MARINE CRESCENT,449761,1.30493495,103.9111425
TELOK KURAU PRIMARY SCHOOL,EAST 4,50 BEDOK RESERVOIR RD,479239,1.33096585,103.9113109
TEMASEK JUNIOR COLLEGE,EAST 2,22 BEDOK SOUTH ROAD,469278,1.3186533,103.9351096
TEMASEK PRIMARY SCHOOL,EAST 2,501 BEDOK SOUTH AVE 3,469300,1.3174371,103.9458351
TEMASEK SECONDARY SCHOOL,EAST 2,600 UPPER EAST COAST ROAD,465561,1.3163473,103.9478533
VICTORIA JUNIOR COLLEGE,EAST 7,20 MARINE VISTA,449035,1.3061913,103.9198444
VICTORIA SCHOOL,EAST 7,2 SIGLAP LINK,448880,1.30854205,103.9274578
WATERWAY PRIMARY SCHOOL,EAST 3,70 Punggol Drive,828802,1.399173,103.918465
WHITE SANDS PRIMARY SCHOOL,EAST 6,2 PASIR RIS ST 11,519075,1.36547295,103.9612546
YU NENG PRIMARY SCHOOL,EAST 2,56 BEDOK NORTH ST 3,469623,1.3341393,103.932568
YUMIN PRIMARY SCHOOL,EAST 3,3 TAMPINES STREET 21,529393,1.3512643,103.9508735
