ST. ANDREW'S JUNIOR SCHOOL,SOUTH 5,2 FRANCIS THOMAS DRIVE,359337
ST. ANDREW'S SECONDARY SCHOOL,SOUTH 5,15 FRANCIS THOMAS DRIVE,359342
ST. JOSEPH'S INSTITUTION,SOUTH 5,21 BISHAN STREET 14,579781
ST. JOSEPH'S INSTITUTION JUNIOR,SOUTH 5,3 ESSEX ROAD,309331
BARTLEY SECONDARY SCHOOL,SOUTH 6,10 JALAN BUNGA RAMPAI ROAD,538403
CEDAR PRIMARY SCHOOL,SOUTH 6,15 CEDAR AVENUE,349700
CHIJ OUR LADY OF THE NATIVITY,SOUTH 6,1257 UPPER SERANGOON ROAD,534793
NANYANG JUNIOR COLLEGE,SOUTH 6,128 SERANGOON AVENUE 3,556111
PEICAI SECONDARY SCHOOL,SOUTH 6,10 SERANGOON AVENUE 4,556094
ST. GABRIEL'S PRIMARY SCHOOL,SOUTH 6,220 Lorong Chuan,556742
ST. GABRIEL'S SECONDARY SCHOOL,SOUTH 6,24 SERANGOON AVENUE 1,556140
ST. MARGARET'S PRIMARY SCHOOL,SOUTH 6,99 WILKIE ROAD,228091
ST. MARGARET'S SECONDARY SCHOOL,SOUTH 6,111 FARRER ROAD,259240
TECK GHEE PRIMARY SCHOOL,SOUTH 6,1 ANG MO KIO STREET 32,569299
YANGZHENG PRIMARY SCHOOL,SOUTH 6,15 SERANGOON AVENUE 3,556108
ZHONGHUA PRIMARY SCHOOL,SOUTH 6,12 SERANGOON AVENUE 4 ZHONGHUA PRIMARY SCHOOL,556095
ZHONGHUA SECONDARY SCHOOL,SOUTH 6,13 SERANGOON AVENUE 3,556123
AI TONG SCHOOL,SOUTH 7,100 Bright Hill Drive,579646
BISHAN PARK SECONDARY SCHOOL,SOUTH 7,2 SIN MING WALK,575565
GUANGYANG PRIMARY SCHOOL,SOUTH 7,6 Bishan Street 12,579806
GUANGYANG SECONDARY SCHOOL,SOUTH 7,8 BISHAN STREET 12,579807
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,SOUTH 7,8 BISHAN STREET 13,579793
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,SOUTH 7,10 BISHAN STREET 13,579795
MAYFLOWER PRIMARY SCHOOL,SOUTH 7,200 ANG MO KIO AVE 5,569878
PEIRCE SECONDARY SCHOOL,SOUTH 7,10 SIN MING WALK,575566
RAFFLES GIRLS' SCHOOL (SECONDARY),SOUTH 7,20 ANDERSON ROAD,259978
RAFFLES INSTITUTION,SOUTH 7,1 RAFFLES INSTITUTION LANE,575954
TOWNSVILLE PRIMARY SCHOOL,SOUTH 7,3 ANG MO KIO AVE 10,569730
WHITLEY SECONDARY SCHOOL,SOUTH 7,30 BISHAN STREET 24,579747
