NORTH VIEW PRIMARY SCHOOL,NORTH 6,210 YISHUN AVENUE 6,768960,1.42773465,103.8486698
NORTH VIEW SECONDARY SCHOOL,NORTH 2,530 YISHUN RING ROAD,768680,1.42776895,103.8442362
NORTH VISTA PRIMARY SCHOOL,NORTH 1,20 Compassvale Link,544974,1.38283675,103.8959746
NORTH VISTA SECONDARY SCHOOL,NORTH 1,11 RIVERVALE LINK,545081,1.3816673,103.8987862
NORTHBROOKS SECONDARY SCHOOL,NORTH 6,585 YISHUN RING ROAD,768692,1.4212669,103.8447792
NORTHLAND PRIMARY SCHOOL,NORTH 2,15 YISHUN AVENUE 4,769026,1.421194,103.8405929
NORTHLAND SECONDARY SCHOOL,NORTH 2,3 YISHUN STREET 22,768578,1.43579135,103.840749
NORTHOAKS PRIMARY SCHOOL,NORTH 8,61 Sembawang Drive,757622,1.45694685,103.813541
ORCHID PARK SECONDARY SCHOOL,NORTH 6,10 YISHUN STREET 81,768454,1.41577495,103.8381029
PALM VIEW PRIMARY SCHOOL,NORTH 1,150 Compassvale Bow,544822,1.38409165,103.8912197
PEI HWA SECONDARY SCHOOL,NORTH 3,21 FERNVALE LINK,797702,1.39088135,103.878152
PEIYING PRIMARY SCHOOL,NORTH 6,651 YISHUN RING ROAD,768687,1.4177946,103.8301696
PRESBYTERIAN HIGH SCHOOL,NORTH 6,5209 ANG MO KIO AVENUE 6,569845,1.3827639,103.8429222
PUNGGOL SECONDARY SCHOOL,NORTH 4,51 EDGEFIELD PLAINS,828870,1.4022783,103.9090638
QIHUA PRIMARY SCHOOL,NORTH 5,5 WOODLANDS STREET 81,738525,1.4420502,103.7883337
RIVERSIDE PRIMARY SCHOOL,NORTH 7,110 Woodlands Crescent,737803,1.447286402,103.8018502
RIVERSIDE SECONDARY SCHOOL,NORTH 5,3 WOODLANDS STREET 81,738524,1.44058925,103.7883952
RIVERVALE PRIMARY SCHOOL,NORTH 1,80 RIVERVALE DRIVE,545092,1.39365955,103.9046075
ROSYTH SCHOOL,NORTH 1,21 Serangoon North Avenue 4,555855,1.37276625,103.8745282
SEMBAWANG PRIMARY SCHOOL,NORTH 8,10 SEMBAWANG DRIVE,757715,1.4452989,103.8208904
SEMBAWANG SECONDARY SCHOOL,NORTH 8,30 SEMBAWANG CRESCENT,757704,1.44565285,103.8166628
SENG KANG PRIMARY SCHOOL,NORTH 1,21 COMPASSVALE WALK,545166,1.38939055,103.8993954
SENG KANG SECONDARY SCHOOL,NORTH 1,10 COMPASSVALE LANE,545090,1.3865332,103.8987063
SERANGOON JUNIOR COLLEGE,NORTH 4,1033 UPPER SERANGOON ROAD,534768,1.364905,103.8877021
SERANGOON SECONDARY SCHOOL,NORTH 3,11 UPPER SERANGOON VIEW,534237,1.3749396,103.902063
SI LING PRIMARY SCHOOL,NORTH 7,61 WOODLANDS AVENUE 1,739067,1.432724,103.7857785
SI LING SECONDARY SCHOOL,NORTH 5,11 MARSILING LANE,739148,1.4453339,103.775269
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,NORTH 2,190 DUNEARN ROAD,309437,1.3208577,103.8279956
SINGAPORE CHINESE GIRLS' SCHOOL,NORTH 2,190 DUNEARN ROAD,309437,1.3208577,103.8279956
SINGAPORE SPORTS SCHOOL,NORTH 8,1 Champions Way,737913,1.4273036,103.7876926
SPECTRA SECONDARY SCHOOL,NORTH 8,1 WOODLANDS DRIVE 64,737758,1.4366363,103.8043893
WELLINGTON PRIMARY SCHOOL,NORTH 7,10 WELLINGTON CIRCLE,757702,1.452126033,103.8224132
WOODGROVE PRIMARY SCHOOL,NORTH 5,2 WOODLANDS DRIVE 14 WOODGROVE PRIMARY SCHOOL,738079,1.43319325,103.7903379
WOODGROVE SECONDARY SCHOOL,NORTH 7,3 WOODLANDS AVENUE 6,738990,1.42830325,103.7965806
WOODLANDS PRIMARY SCHOOL,NORTH 7,10 WOODLANDS DRIVE 50,738853,1.4366976,103.7917017
WOODLANDS RING PRIMARY SCHOOL,NORTH 5,11 WOODLANDS RING ROAD,738240,1.43466535,103.7978405
WOODLANDS RING SECONDARY SCHOOL,NORTH 8,10 WOODLANDS RING ROAD,738239,1.436023,103.8004353
WOODLANDS SECONDARY SCHOOL,NORTH 5,11 MARSILING ROAD,739111,1.43952995,103.774404
XINMIN PRIMARY SCHOOL,NORTH 1,9 HOUGANG AVENUE 8,538784,1.3713546,103.8830863
XINMIN SECONDARY SCHOOL,NORTH 1,11 HOUGANG AVENUE 8,538789,1.3720265,103.8826412
XISHAN PRIMARY SCHOOL,NORTH 2,8 YISHUN STREET 21,768611,1.43343,103.8377866
YIO CHU KANG PRIMARY SCHOOL,NORTH 3,1 HOUGANG STREET 51,538720,1.3778329,103.8854181
YIO CHU KANG SECONDARY SCHOOL,NORTH 6,3063 ANG MO KIO AVENUE 5,569868,1.3782302,103.8421304
YISHUN JUNIOR COLLEGE,NORTH 8,3 YISHUN RING ROAD,768675,1.42449365,103.8305057
YISHUN PRIMARY SCHOOL,NORTH 6,500 YISHUN RING ROAD,768679,1.4335987,103.8338869
YISHUN SECONDARY SCHOOL,NORTH 2,4 YISHUN STREET 71,768516,1.42796,103.8290005
YISHUN TOWN SECONDARY SCHOOL,NORTH 2,6 YISHUN STREET 21,768610,1.43266455,103.8378851
